observer, scene, part_A, part_B, distortion_A, distortion_B, level_A, level_B, is_A_selected
"019", "head2", "r15", "r7", "resample", "resample", 1.000000, 2.000000, 1
"019", "head2", "r10", "r6", "noise", "resample", 2.000000, 2.000000, 1
"019", "head2", "m0", "r10", "resample", "simp", 1.000000, 1.000000, 1
"019", "head2", "r13", "r14", "noise", "noise", 1.000000, 1.000000, 0
"019", "head2", "r11", "m0", "smooth", "simp", 1.000000, 2.000000, 1
"019", "head2", "r7", "m5", "jpg", "noise", 1.000000, 1.000000, 0
"019", "head2", "r17", "r14", "resample", "simp", 2.000000, 1.000000, 1
"019", "head2", "r15", "m0", "smooth", "smooth", 1.000000, 2.000000, 1
"019", "head2", "r14", "r8", "smooth", "noise", 2.000000, 1.000000, 1
"019", "head2", "m1", "m3", "resample", "noise", 2.000000, 2.000000, 1
"019", "head2", "r12", "r14", "smooth", "resample", 2.000000, 1.000000, 0
"019", "head2", "r12", "ref", "noise", "ref", 2.000000, 2.000000, 1
"019", "head2", "m2", "m1", "simp", "jpg", 2.000000, 1.000000, 0
"019", "head2", "r6", "r7", "noise", "resample", 2.000000, 1.000000, 1
"019", "head2", "m3", "m2", "smooth", "noise", 2.000000, 2.000000, 1
"019", "head2", "m0", "r8", "simp", "simp", 1.000000, 2.000000, 1
"019", "head2", "m3", "m5", "noise", "smooth", 1.000000, 1.000000, 0
"019", "head2", "r18", "m4", "noise", "jpg", 1.000000, 1.000000, 1
"019", "head2", "r6", "m0", "jpg", "resample", 1.000000, 1.000000, 0
"019", "head2", "r6", "r10", "resample", "smooth", 1.000000, 1.000000, 0
"019", "head2", "m0", "r15", "jpg", "resample", 1.000000, 1.000000, 1
"019", "head2", "m4", "r15", "smooth", "smooth", 2.000000, 1.000000, 0
"019", "head2", "r18", "m0", "simp", "noise", 2.000000, 2.000000, 1
"019", "head2", "r16", "r12", "smooth", "jpg", 2.000000, 1.000000, 1
"019", "head2", "r17", "r18", "noise", "noise", 1.000000, 1.000000, 1
"019", "head2", "r13", "r18", "jpg", "resample", 1.000000, 2.000000, 0
"019", "head2", "r8", "r18", "noise", "jpg", 2.000000, 2.000000, 1
"019", "head2", "r7", "r18", "simp", "jpg", 2.000000, 1.000000, 0
"019", "head2", "r9", "m0", "smooth", "jpg", 1.000000, 2.000000, 1
"019", "head2", "r16", "r14", "simp", "jpg", 2.000000, 2.000000, 0
"019", "head2", "m2", "r17", "noise", "noise", 2.000000, 2.000000, 0
"019", "head2", "m4", "m0", "smooth", "simp", 1.000000, 1.000000, 1
